id;street_address;postal_code;city;state_province
1;regarding chow uh-huh;incidentally on;Veldacester;neatly
2;gadzooks;eek besides justly;South Okeyboro;instance lava
3;quicker bench;inure tensely video;New Priscilla;guilty righteously
4;futon;honestly;Bowie;electrify
5;likewise snuggle;ew;East Garfieldton;excluding glorious
6;radiant;oddly fooey;Port Brook;and sleepy adolescent
7;pepper;every worth;Fort Betty;obtrude jellyfish
8;but;jungle zowie;Lake Nasir;tomorrow
9;above;questioningly kick but;Fisherstad;ah bob
10;why present behind;geez storyboard necessary;Pine Bluff;meanwhile besides asset
